image,class,domain,pc1,pc2,tsne1,tsne2,full_head_prediction,slice_prediction,full_head_margin
art_painting/dog/pic_104.jpg,dog,art_painting,3.2645745,39.337242,14.28737,4.47384,dog,dog,9.780252
art_painting/dog/pic_110.jpg,dog,art_painting,2.4305763,35.553192,14.680118,5.0480623,dog,dog,11.675325
art_painting/dog/pic_378.jpg,dog,art_painting,-3.0929337,37.119083,14.943271,3.1634111,dog,dog,11.538892
art_painting/dog/pic_368.jpg,dog,art_painting,2.885098,32.057407,14.826484,5.112367,dog,dog,11.007282
art_painting/dog/pic_168.jpg,dog,art_painting,2.356736,36.394173,14.798512,4.192287,dog,dog,11.852433
art_painting/dog/pic_060.jpg,dog,art_painting,-3.466092,33.623135,15.090216,3.5495663,dog,dog,11.122956
art_painting/dog/pic_173.jpg,dog,art_painting,4.8907866,35.563488,15.1675415,4.694552,dog,dog,12.913655
art_painting/dog/pic_301.jpg,dog,art_painting,1.9672341,31.363834,14.679384,4.551987,dog,dog,12.00588
art_painting/dog/pic_274.jpg,dog,art_painting,3.693248,30.898926,13.910123,6.1506896,dog,dog,8.684391
art_painting/dog/pic_169.jpg,dog,art_painting,0.35934067,37.79782,13.666344,5.3023973,dog,dog,11.995603
art_painting/dog/pic_035.jpg,dog,art_painting,-1.6960602,33.334843,13.443292,5.5764365,dog,dog,9.463637
art_painting/dog/pic_221.jpg,dog,art_painting,0.6154394,37.429863,15.838324,4.164278,dog,dog,10.792768
art_painting/dog/pic_089.jpg,dog,art_painting,4.2945604,34.686768,13.678303,5.6320496,dog,dog,11.077195
art_painting/dog/pic_028.jpg,dog,art_painting,-4.5355825,38.076687,14.967679,3.3552217,dog,dog,11.647254
art_painting/dog/pic_212.jpg,dog,art_painting,1.8211284,35.56175,15.459306,3.2017138,dog,dog,12.292016
art_painting/dog/pic_308.jpg,dog,art_painting,-3.1125393,37.441284,15.222774,3.4232442,dog,dog,11.307219
art_painting/dog/pic_194.jpg,dog,art_painting,-1.086534,32.49201,15.191942,2.680272,dog,dog,10.489214
art_painting/dog/pic_090.jpg,dog,art_painting,3.4921367,30.332626,13.509318,5.7889132,dog,dog,9.164294
art_painting/elephant/pic_132.jpg,elephant,art_painting,-56.465153,-5.728896,41.265957,2.6794662,elephant,elephant,11.722498
art_painting/elephant/pic_217.jpg,elephant,art_painting,-62.692677,-5.509716,41.117397,4.0821033,elephant,elephant,12.269231
art_painting/elephant/pic_244.jpg,elephant,art_painting,-57.53592,-3.5769167,41.84877,3.4997675,elephant,elephant,10.323061
