number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
15,0.9908294412608182,2026-09-19 20:53:19.061107,2026-09-19 20:57:40.199816,0 days 00:04:21.138709,32,0.5,7.332953282284693e-06,1.5391643068514883e-06,,"{""batch_size"": 32, ""dropout"": 0.5, ""lr"": 7.332953282284693e-06, ""weight_decay"": 1.5391643068514883e-06}",PRUNED
16,0.9884529377233346,2026-09-19 20:54:29.390117,2026-09-19 20:57:10.062798,0 days 00:02:40.672681,32,0.3,1.0865077836785982e-06,8.828108716466874e-05,,"{""batch_size"": 32, ""dropout"": 0.3, ""lr"": 1.0865077836785982e-06, ""weight_decay"": 8.828108716466874e-05}",PRUNED
17,0.990219935761337,2026-09-19 20:57:40.219326,2026-09-19 21:05:42.531217,0 days 00:08:02.311891,64,0.1,4.29223054606627e-06,0.008229767700999641,,"{""batch_size"": 64, ""dropout"": 0.1, ""lr"": 4.29223054606627e-06, ""weight_decay"": 0.008229767700999641}",PRUNED
18,0.9856518057357452,2026-09-19 21:01:21.288158,2026-09-19 21:03:11.840514,0 days 00:01:50.552356,16,0.5,1.120062980629105e-06,0.005834249966138833,,"{""batch_size"": 16, ""dropout"": 0.5, ""lr"": 1.120062980629105e-06, ""weight_decay"": 0.005834249966138833}",PRUNED
19,0.9922060718239063,2026-09-19 21:04:02.079524,2026-09-19 21:11:14.132504,0 days 00:07:12.052980,32,0.2,2.0141631906520373e-06,2.846902162205154e-05,,"{""batch_size"": 32, ""dropout"": 0.2, ""lr"": 2.0141631906520373e-06, ""weight_decay"": 2.846902162205154e-05}",COMPLETE
20,0.9904390737859039,2026-09-19 21:08:53.472586,2026-09-19 21:16:55.678838,0 days 00:08:02.206252,64,0.0,1.0764536222955464e-06,3.2404384315653746e-07,,"{""batch_size"": 64, ""dropout"": 0.0, ""lr"": 1.0764536222955464e-06, ""weight_decay"": 3.2404384315653746e-07}",PRUNED
21,0.9888775661734407,2026-09-19 21:10:43.999473,2026-09-19 21:13:24.738319,0 days 00:02:40.738846,32,0.0,1.367509761854027e-06,0.00018788171806642995,,"{""batch_size"": 32, ""dropout"": 0.0, ""lr"": 1.367509761854027e-06, ""weight_decay"": 0.00018788171806642995}",PRUNED
22,0.9896925620984612,2026-09-19 21:13:24.749114,2026-09-19 21:15:35.319001,0 days 00:02:10.569887,16,0.1,2.2689470481260813e-06,2.1547888880236013e-05,,"{""batch_size"": 16, ""dropout"": 0.1, ""lr"": 2.2689470481260813e-06, ""weight_decay"": 2.1547888880236013e-05}",PRUNED
23,0.9914938211116556,2026-09-19 21:17:05.750432,2026-09-19 21:22:27.149285,0 days 00:05:21.398853,32,0.1,7.72059708388791e-06,1.6305257341798967e-05,,"{""batch_size"": 32, ""dropout"": 0.1, ""lr"": 7.72059708388791e-06, ""weight_decay"": 1.6305257341798967e-05}",PRUNED
24,0.9925622160364346,2026-09-19 21:23:57.586571,2026-09-19 21:28:39.046534,0 days 00:04:41.459963,16,0.1,4.925117639465804e-06,4.663361760005004e-07,,"{""batch_size"": 16, ""dropout"": 0.1, ""lr"": 4.925117639465804e-06, ""weight_decay"": 4.663361760005004e-07}",COMPLETE
25,0.9885899439112963,2026-09-19 21:25:48.117656,2026-09-19 21:27:38.709790,0 days 00:01:50.592134,16,0.0,2.5234150490748126e-06,7.276288854900019e-06,,"{""batch_size"": 16, ""dropout"": 0.0, ""lr"": 2.5234150490748126e-06, ""weight_decay"": 7.276288854900019e-06}",PRUNED
26,0.9832410412230699,2026-09-19 21:28:39.060171,2026-09-19 21:30:29.644270,0 days 00:01:50.584099,16,0.2,1.2172302829204283e-05,1.395422778255864e-07,,"{""batch_size"": 16, ""dropout"": 0.2, ""lr"": 1.2172302829204283e-05, ""weight_decay"": 1.395422778255864e-07}",PRUNED
27,0.9866038078487271,2026-09-19 21:29:19.286357,2026-09-19 21:30:59.811237,0 days 00:01:40.524880,16,0.1,5.733988452467665e-06,5.268151776955596e-07,,"{""batch_size"": 16, ""dropout"": 0.1, ""lr"": 5.733988452467665e-06, ""weight_decay"": 5.268151776955596e-07}",PRUNED
28,0.9891309274603935,2026-09-19 21:32:20.232024,2026-09-19 21:35:01.054375,0 days 00:02:40.822351,32,0.5,4.164253240064595e-06,3.2855129046051246e-05,,"{""batch_size"": 32, ""dropout"": 0.5, ""lr"": 4.164253240064595e-06, ""weight_decay"": 3.2855129046051246e-05}",PRUNED
29,0.9891309274603935,2026-09-19 21:36:11.437293,2026-09-19 21:38:42.263824,0 days 00:02:30.826531,32,0.3,1.2158244955015982e-05,0.00043823955599034517,,"{""batch_size"": 32, ""dropout"": 0.3, ""lr"": 1.2158244955015982e-05, ""weight_decay"": 0.00043823955599034517}",PRUNED
30,0.9941922078864754,2026-09-19 21:38:02.070501,2026-09-19 21:51:16.121038,0 days 00:13:14.050537,64,0.1,9.190966469249134e-06,1.654704335300994e-07,,"{""batch_size"": 64, ""dropout"": 0.1, ""lr"": 9.190966469249134e-06, ""weight_decay"": 1.654704335300994e-07}",COMPLETE
31,0.9884529377233346,2026-09-19 21:40:22.802654,2026-09-19 21:42:03.316299,0 days 00:01:40.513645,16,0.5,1.7095452554921497e-06,3.162203813599718e-06,,"{""batch_size"": 16, ""dropout"": 0.5, ""lr"": 1.7095452554921497e-06, ""weight_decay"": 3.162203813599718e-06}",PRUNED
32,0.9946510973117736,2026-09-19 21:42:13.404194,2026-09-19 21:49:15.527726,0 days 00:07:02.123532,32,0.1,2.1192015849337554e-06,0.00018079226772859763,,"{""batch_size"": 32, ""dropout"": 0.1, ""lr"": 2.1192015849337554e-06, ""weight_decay"": 0.00018079226772859763}",COMPLETE
33,0.9917129591362223,2026-09-19 21:44:24.075856,2026-09-19 21:54:27.046421,0 days 00:10:02.970565,64,0.0,3.5844048420276234e-06,2.175420835370996e-05,,"{""batch_size"": 64, ""dropout"": 0.0, ""lr"": 3.5844048420276234e-06, ""weight_decay"": 2.175420835370996e-05}",PRUNED
34,0.9830561641736949,2026-09-19 21:48:25.240902,2026-09-19 21:50:15.852842,0 days 00:01:50.611940,16,0.1,8.061809473667527e-06,5.4210937886863866e-05,,"{""batch_size"": 16, ""dropout"": 0.1, ""lr"": 8.061809473667527e-06, ""weight_decay"": 5.4210937886863866e-05}",PRUNED
35,0.9930553287241185,2026-09-19 21:50:15.858670,2026-09-19 21:57:17.881815,0 days 00:07:02.023145,32,0.1,1.8028250279421257e-06,0.00010802504035316716,,"{""batch_size"": 32, ""dropout"": 0.1, ""lr"": 1.8028250279421257e-06, ""weight_decay"": 0.00010802504035316716}",COMPLETE
36,0.984884680672138,2026-09-19 21:54:17.009516,2026-09-19 21:58:58.395618,0 days 00:04:41.386102,64,0.1,2.0967142921335876e-05,1.9496090576118157e-07,,"{""batch_size"": 64, ""dropout"": 0.1, ""lr"": 2.0967142921335876e-05, ""weight_decay"": 1.9496090576118157e-07}",PRUNED
37,0.9897268230736532,2026-09-19 21:57:17.894608,2026-09-19 21:59:58.699070,0 days 00:02:40.804462,32,0.1,1.2064069671985777e-06,0.00012657870779797542,,"{""batch_size"": 32, ""dropout"": 0.1, ""lr"": 1.2064069671985777e-06, ""weight_decay"": 0.00012657870779797542}",PRUNED
38,0.9908294412608182,2026-09-19 21:59:28.555405,2026-09-19 22:05:30.243581,0 days 00:06:01.688176,64,0.5,5.7467182964468385e-06,1.1726220645754813e-07,,"{""batch_size"": 64, ""dropout"": 0.5, ""lr"": 5.7467182964468385e-06, ""weight_decay"": 1.1726220645754813e-07}",PRUNED
39,0.9909321864735877,2026-09-19 22:02:39.474913,2026-09-19 22:08:40.956769,0 days 00:06:01.481856,64,0.1,4.7021332689403635e-06,2.7232044834285546e-07,,"{""batch_size"": 64, ""dropout"": 0.1, ""lr"": 4.7021332689403635e-06, ""weight_decay"": 2.7232044834285546e-07}",PRUNED
