image,class,domain,pc1,pc2,tsne1,tsne2,full_head_prediction,slice_prediction,full_head_margin
art_painting/dog/pic_276.jpg,dog,art_painting,-20.043621,-18.046276,-14.157024,-13.563143,dog,dog,10.00192
art_painting/dog/pic_155.jpg,dog,art_painting,-14.296865,-31.216576,-12.412781,-13.528334,dog,dog,10.644881
art_painting/dog/pic_177.jpg,dog,art_painting,-9.571718,-18.116379,-12.715491,-17.274364,dog,dog,7.8562956
art_painting/dog/pic_350.jpg,dog,art_painting,-16.249695,-30.75624,-13.054194,-14.477763,dog,dog,9.481124
art_painting/dog/pic_290.jpg,dog,art_painting,-16.106678,-23.433123,-12.849972,-16.976295,dog,dog,10.254574
art_painting/dog/pic_266.jpg,dog,art_painting,-11.035881,-15.845913,-14.433755,-13.663992,dog,dog,8.627491
art_painting/dog/pic_099.jpg,dog,art_painting,-20.069498,-15.928577,-14.599292,-15.562626,dog,dog,11.948481
art_painting/dog/pic_028.jpg,dog,art_painting,-20.571682,-27.221725,-13.083085,-14.723434,dog,dog,11.2318
art_painting/dog/pic_035.jpg,dog,art_painting,-13.475454,-28.890968,-12.677798,-17.607061,dog,dog,8.2243805
art_painting/dog/pic_096.jpg,dog,art_painting,-6.711091,-19.59471,-12.566987,-17.653868,dog,person,7.5285254
art_painting/dog/pic_166.jpg,dog,art_painting,-10.728281,-8.043259,-15.479946,-14.427026,dog,dog,8.473723
art_painting/dog/pic_168.jpg,dog,art_painting,-11.576622,-24.556238,-13.369244,-15.725425,dog,dog,9.818676
art_painting/dog/pic_194.jpg,dog,art_painting,-15.04179,-14.565672,-11.904488,-15.984144,dog,dog,9.297108
art_painting/dog/pic_212.jpg,dog,art_painting,-18.41735,-24.32827,-12.96778,-15.344505,dog,dog,10.109645
art_painting/dog/pic_340.jpg,dog,art_painting,-21.25694,-15.475092,-13.860418,-15.968097,dog,dog,8.654968
art_painting/dog/pic_089.jpg,dog,art_painting,-13.307438,-20.675697,-12.734551,-16.955486,dog,dog,9.612355
art_painting/dog/pic_164.jpg,dog,art_painting,-18.673246,-16.69587,-12.039124,-15.978739,dog,dog,9.948812
art_painting/dog/pic_191.jpg,dog,art_painting,-13.032539,-13.013054,-11.811038,-15.867032,dog,dog,7.719702
art_painting/dog/pic_086.jpg,dog,art_painting,-17.536917,-14.29718,-14.71538,-15.683258,dog,dog,11.052702
art_painting/dog/pic_249.jpg,dog,art_painting,-11.1734295,3.873804,-15.874998,-13.674327,dog,horse,6.988686
art_painting/dog/pic_051.jpg,dog,art_painting,-19.26043,-28.839596,-12.888487,-14.557346,dog,dog,10.84033
art_painting/dog/pic_198.jpg,dog,art_painting,-3.5971222,-13.927837,-15.8105345,-13.664963,dog,person,7.163967
art_painting/dog/pic_118.jpg,dog,art_painting,-14.282249,-21.05882,-12.741043,-15.04247,dog,dog,9.689992
art_painting/elephant/pic_151.jpg,elephant,art_painting,-23.838005,-22.661785,-34.44586,-3.5373473,elephant,dog,11.848938
art_painting/elephant/pic_035.jpg,elephant,art_painting,-23.009823,-17.193634,-34.356995,-5.0642743,elephant,dog,12.175106
art_painting/elephant/pic_055.jpg,elephant,art_painting,-20.119576,-9.092058,-36.26035,-6.3070974,elephant,dog,8.48401
